#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
23,LEO Token  LEO,$3.58,0.1%,0.7%,1.7%,"$117,964","$3,329,162,263",-,-
24,Toncoin TON,$2.16,0.4%,-0.9%,-6.5%,"$13,049,787","$3,186,248,548","$10,935,198,644",0.29
25,OKB OKB,$46.94,-0.2%,-1.9%,-2.5%,"$6,803,102","$2,819,800,062","$14,099,000,308",0.20
26,Monero XMR,$153.94,-0.1%,-1.3%,-2.2%,"$67,367,705","$2,794,345,635",-,-
27,Ethereum Classic ETC,$19.70,-0.1%,-1.0%,-2.8%,"$55,483,959","$2,774,134,986","$4,154,460,952",0.67
28,Internet Computer ICP,$6.29,0.2%,-3.2%,11.8%,"$150,358,445","$2,752,518,848","$2,964,447,065",0.93
29,Stellar XLM,$0.094994057491,0.0%,0.1%,-0.9%,"$29,053,199","$2,545,173,157","$4,754,267,894",0.54
30,Filecoin FIL,$5.53,0.3%,0.9%,3.8%,"$150,764,549","$2,327,137,818","$10,862,766,941",0.21
31,Bitcoin Cash BCH,$119.11,0.1%,-0.4%,-2.7%,"$50,648,939","$2,311,269,255","$2,504,641,776",0.92
32,TrueUSD TUSD,$0.999501,-0.1%,-0.1%,-0.2%,"$79,905,531","$2,040,899,502",-,-
33,Aptos APT,$10.57,0.0%,-1.8%,2.0%,"$123,418,388","$2,001,285,579","$10,913,573,658",0.18
34,Hedera HBAR,$0.063292807654,1.0%,3.6%,3.1%,"$87,047,778","$1,965,658,558","$3,154,567,963",0.62
35,Cronos CRO,$0.074249589354,0.2%,-1.9%,8.7%,"$15,940,421","$1,875,822,317",-,-
36,Lido DAO LDO,$2.06,-0.2%,-1.9%,-1.9%,"$19,517,655","$1,807,331,720","$2,062,171,358",0.88
37,Arbitrum ARB,$1.37,-0.2%,-1.2%,-6.8%,"$172,210,514","$1,742,539,327","$13,666,975,114",0.13
38,NEAR Protocol NEAR,$1.94,-0.2%,0.3%,-0.6%,"$43,232,658","$1,736,976,908","$1,940,608,874",0.90
39,Quant QNT,$116.77,0.4%,0.7%,2.8%,"$19,417,892","$1,698,127,482","$1,706,103,918",1.00
40,VeChain VET,$0.022505357183,-0.1%,-0.3%,-0.9%,"$39,466,549","$1,632,756,347","$1,952,535,732",0.84
41,ApeCoin APE,$4.06,-0.1%,-0.4%,2.4%,"$39,490,263","$1,497,454,345","$4,062,614,585",0.37
42,Algorand ALGO,$0.182587,-0.1%,-1.3%,-4.7%,"$32,933,371","$1,322,408,773","$1,826,294,199",0.72
43,The Graph GRT,$0.137445,-0.2%,-1.0%,-3.6%,"$27,559,290","$1,230,351,062","$1,375,883,185",0.89
44,Fantom FTM,$0.430474,0.2%,0.2%,-1.5%,"$102,640,277","$1,200,708,582","$1,367,501,423",0.88
45,EOS EOS,$1.04,-0.1%,-0.6%,-3.6%,"$52,964,181","$1,146,281,835",-,-
46,The Sandbox SAND,$0.586999,-0.1%,-0.8%,-2.7%,"$51,980,482","$1,077,940,810","$1,763,375,484",0.61
47,Radix XRD,$0.105632,-0.3%,0.4%,8.5%,"$10,217,839","$1,073,309,871","$2,535,517,257",0.42
48,MultiversX EGLD,$41.62,-0.4%,-1.3%,6.6%,"$36,043,502","$1,055,299,555","$1,308,031,939",0.81
49,Pax Dollar USDP,$0.997360,-0.1%,-0.2%,-0.3%,"$1,007,549","$1,038,801,766","$1,038,801,766",1.00
50,Aave AAVE,$71.00,-0.4%,-1.6%,0.1%,"$28,552,654","$1,021,963,220","$1,137,803,918",0.90
51,Theta Network THETA,$1.01,-0.3%,-0.7%,-2.7%,"$9,463,174","$1,013,948,520","$1,013,948,520",1.00
52,Frax FRAX,$0.998938,-0.1%,-0.0%,-0.1%,"$3,641,730","$1,003,396,903","$1,003,396,903",1.00
53,Edgecoin EDGT,$1.00,-0.0%,-0.0%,0.0%,"$25,736,421","$1,001,491,690","$1,001,491,689,734",0.00
54,Decentraland MANA,$0.547845,-0.2%,-1.2%,-4.5%,"$34,722,388","$1,000,246,103","$1,202,459,346",0.83
55,Stacks STX,$0.723271,-0.4%,-0.1%,-2.0%,"$33,546,263","$995,374,509","$1,315,851,771",0.76
56,ImmutableX IMX,$0.998383,-0.3%,-2.1%,1.1%,"$16,659,184","$956,020,081","$2,000,581,889",0.48
57,Tezos XTZ,$1.02,0.1%,-0.5%,-1.7%,"$15,405,857","$944,314,390",-,-
58,Flow FLOW,$0.895948,-0.4%,-1.2%,-3.1%,"$8,381,897","$929,189,424","$1,280,397,115",0.73
59,Axie Infinity AXS,$7.90,0.0%,-1.4%,-2.4%,"$23,970,785","$914,219,156","$2,134,154,181",0.43
60,Rocket Pool RPL,$46.94,0.0%,1.0%,0.0%,"$6,605,147","$908,526,949",-,-
61,Render RNDR,$2.46,0.8%,4.1%,35.8%,"$99,128,841","$896,026,552","$1,307,472,996",0.69
62,KuCoin KCS,$8.10,-0.3%,-0.5%,-1.1%,"$707,490","$785,228,440",-,-
63,Synthetix Network SNX,$2.43,-0.2%,-1.0%,-4.6%,"$25,552,322","$771,464,628","$773,226,779",1.00
64,NEO NEO,$10.79,-0.1%,-0.5%,-5.7%,"$21,180,993","$762,049,448",-,-
65,Curve DAO CRV,$0.919813,-0.2%,-1.5%,-1.9%,"$19,895,371","$746,675,998","$3,042,735,731",0.25
66,Gate GT,$5.27,-0.0%,-0.4%,0.7%,"$331,735","$733,434,678",-,-
67,BitDAO BIT,$0.496568,0.0%,-0.8%,-1.5%,"$2,797,502","$722,544,501","$4,775,968,875",0.15
68,USDD USDD,$0.990616,0.0%,-0.1%,0.2%,"$22,757,303","$719,082,173",-,-
69,Klaytn KLAY,$0.224868,-0.1%,-1.3%,-0.4%,"$17,008,473","$696,053,235",-,-
70,WhiteBIT Token WBT,$4.78,0.1%,-0.2%,1.5%,"$11,501,914","$689,058,611","$1,912,477,660",0.36
71,Optimism OP,$2.19,0.1%,0.3%,-5.1%,"$63,270,457","$688,774,047","$9,395,956,990",0.07
72,Chiliz CHZ,$0.128381,0.2%,0.1%,3.7%,"$38,805,463","$686,562,085","$1,141,972,369",0.60
73,Conflux CFX,$0.320381,-0.1%,-3.4%,7.2%,"$69,017,503","$672,017,571",-,-
74,Terra Luna Classic LUNC,$0.000111723248,-0.0%,-0.4%,-0.8%,"$26,992,364","$659,467,136","$766,886,818",0.86
75,Bitcoin SV BSV,$33.95,-0.0%,-0.9%,-1.7%,"$4,499,822","$656,529,464","$715,616,313",0.92
76,Casper Network CSPR,$0.058101529811,-0.0%,4.7%,13.0%,"$14,444,449","$637,354,282","$677,974,993",0.94
77,Maker MKR,$703.69,-0.0%,-0.1%,0.6%,"$11,784,858","$634,623,182","$708,038,084",0.90
78,Injective INJ,$7.86,-0.3%,-7.8%,3.3%,"$85,853,657","$629,132,600","$786,361,144",0.80
79,GMX GMX,$72.35,-0.3%,0.2%,-3.0%,"$8,802,896","$628,412,574","$959,659,135",0.65
80,Mina Protocol MINA,$0.673289,-0.4%,-1.4%,-2.5%,"$10,340,996","$601,747,554","$692,690,939",0.87
81,BitTorrent BTT,$0.000000631511,0.2%,0.1%,-4.4%,"$11,019,024","$600,167,240","$624,502,845",0.96
82,eCash XEC,$0.000029862129,-0.3%,-1.4%,-0.8%,"$4,744,289","$577,908,369","$626,384,620",0.92
83,Huobi HT,$3.52,0.1%,-0.5%,-2.2%,"$5,460,385","$571,553,249","$718,172,871",0.80
84,Dash DASH,$50.18,-0.2%,-0.5%,-0.5%,"$34,100,049","$565,256,435",-,-
85,Rocket Pool ETH RETH,"$2,033.39",-0.2%,0.1%,1.4%,"$463,183","$562,754,403",-,-
86,Frax Share FXS,$7.77,-0.2%,-1.6%,-5.6%,"$8,513,745","$557,691,942","$776,846,722",0.72
87,IOTA MIOTA,$0.199570,0.0%,-0.8%,-2.0%,"$5,862,186","$555,082,868",-,-
88,Bitget Token BGB,$0.395298,-0.9%,-5.0%,16.7%,"$19,984.75","$553,919,234","$791,312,626",0.70
89,XDC Network XDC,$0.039590969891,-1.1%,-1.3%,-6.3%,"$4,045,261","$547,863,774",-,-
90,PancakeSwap CAKE,$2.68,-0.0%,-0.8%,-21.3%,"$39,940,341","$533,207,642","$2,011,609,116",0.27
91,Tokenize Xchange TKX,$6.62,-0.1%,2.0%,4.7%,"$9,063,740","$530,115,234","$662,677,176",0.80
92,PAX Gold PAXG,"$1,993.93",0.0%,0.2%,0.8%,"$7,406,755","$520,113,588",-,-
93,cETH CETH,$38.19,-0.2%,0.2%,1.2%,"$7,277.62","$496,449,083","$496,449,083",1.00
94,Trust Wallet TWT,$1.18,0.5%,0.9%,-3.9%,"$10,025,847","$493,443,575",-,-
95,Kaspa KAS,$0.027407137015,-0.5%,-9.4%,12.1%,"$7,610,959","$492,896,812",-,-
96,Tether Gold XAUT,"$1,993.54",0.0%,0.1%,0.2%,"$5,870,940","$491,295,799","$491,295,799",1.00
97,Gemini Dollar GUSD,$0.998409,-0.1%,-0.2%,-0.3%,"$107,313","$486,453,830","$486,453,830",1.00
98,Zilliqa ZIL,$0.028416371743,-0.1%,-1.6%,-18.9%,"$28,561,583","$467,343,010","$597,910,700",0.78
99,Flare FLR,$0.031806485844,0.4%,1.1%,-2.6%,"$6,038,348","$466,262,995","$3,210,630,140",0.15
100,Osmosis OSMO,$0.788617,-0.4%,0.0%,2.2%,"$7,503,177","$451,268,613","$788,880,588",0.57
101,WOO Network WOO,$0.267772,-0.6%,-1.9%,-4.8%,"$33,845,986","$450,800,606","$604,477,872",0.75
102,Baby Doge Coin BABYDOGE,$0.000000002774,1.3%,-1.5%,-11.0%,"$7,527,227","$434,370,908","$1,168,524,896",0.37
103,Loopring LRC,$0.344012,0.0%,-0.7%,-2.4%,"$16,802,404","$428,487,969","$472,685,955",0.91
104,dYdX DYDX,$2.62,0.1%,-3.5%,3.0%,"$68,991,515","$415,936,782","$2,627,940,938",0.16
105,THORChain RUNE,$1.36,-0.2%,-0.2%,-2.6%,"$27,642,997","$409,423,618","$680,782,929",0.60
106,SingularityNET AGIX,$0.336502,-0.3%,-2.3%,-4.7%,"$24,534,753","$408,836,946","$673,303,287",0.61
107,Convex Finance CVX,$5.23,-0.2%,-1.4%,-3.5%,"$1,535,609","$401,745,981","$522,942,364",0.77
108,NEXO NEXO,$0.710372,0.1%,0.2%,4.4%,"$3,888,223","$397,906,644","$710,547,566",0.56
109,Kava KAVA,$0.790051,-0.0%,-1.2%,1.6%,"$15,339,489","$394,689,958",-,-
110,Enjin Coin ENJ,$0.392031,-0.2%,-1.4%,-1.8%,"$14,314,650","$392,446,830","$392,446,830",1.00
111,1inch 1INCH,$0.473118,-0.2%,-4.7%,-7.3%,"$35,267,273","$386,377,380","$710,590,973",0.54
112,cUSDC CUSDC,$0.022828314369,,0.0%,-0.1%,$3.17,"$385,145,216",-,-
113,Arweave AR,$7.66,-0.4%,-1.6%,-2.6%,"$6,956,944","$384,600,652","$506,573,576",0.76
114,Basic Attention BAT,$0.249785,-0.1%,-1.7%,-1.9%,"$15,400,453","$372,856,891","$375,708,443",0.99
115,Nexus Mutual NXM,$52.69,,0.1%,1.3%,"$13,520.53","$356,212,040","$356,212,040",1.00
116,Fetch.ai FET,$0.336507,-0.3%,-0.8%,-4.4%,"$31,234,972","$351,107,924","$387,964,557",0.90
117,Zcash ZEC,$38.26,0.1%,0.8%,1.2%,"$15,266,176","$350,036,974","$803,100,839",0.44
118,Mask Network MASK,$4.64,0.1%,-1.2%,-1.0%,"$24,922,015","$344,477,261","$464,489,818",0.74
119,BTSE Token BTSE,$2.09,-1.0%,-2.7%,-3.7%,"$937,484","$342,564,529","$422,758,677",0.81
120,OKT Chain OKT,$19.19,-0.4%,0.7%,-3.2%,"$636,765","$341,977,172","$402,382,891",0.85
121,FLOKI FLOKI,$0.000034710348,0.1%,-3.9%,14.8%,"$16,048,062","$339,490,713",-,-
122,cDAI CDAI,$0.022232869532,0.0%,0.1%,0.0%,"$13,343.17","$336,384,079","$336,384,079",1.00
123,Holo HOT,$0.001885763014,-0.3%,-1.9%,-0.2%,"$7,577,583","$335,216,171",-,-
124,NEM XEM,$0.036866023676,-0.0%,-1.6%,-2.6%,"$8,495,674","$333,316,787",-,-
125,Terra LUNA,$1.26,0.0%,-2.0%,-0.1%,"$22,012,377","$330,622,733","$1,358,691,204",0.24
126,DeFiChain DFI,$0.473597,0.0%,-0.9%,2.3%,"$3,084,833","$329,076,460",-,-
127,JasmyCoin JASMY,$0.006829968946,-0.4%,0.5%,12.5%,"$56,765,753","$327,242,491","$343,958,894",0.95
128,Blur BLUR,$0.711999,-1.6%,-0.4%,12.9%,"$79,696,587","$323,060,050","$2,138,484,926",0.15
129,Frax Ether FRXETH,"$1,902.15",-0.2%,0.1%,1.3%,"$3,607,209","$320,506,517","$320,506,517",1.00
130,Audius AUDIO,$0.301826,0.1%,-1.0%,-6.2%,"$7,739,180","$315,732,085","$350,497,386",0.90
131,Ethereum Name Service ENS,$12.23,-0.3%,-1.1%,-0.5%,"$9,749,343","$315,659,875","$1,224,283,514",0.26
132,WEMIX WEMIX,$1.26,0.3%,2.2%,0.2%,"$2,340,540","$314,877,953","$1,215,639,263",0.26
133,EthereumPoW ETHW,$2.90,-0.1%,-0.6%,-6.3%,"$12,194,131","$314,051,951","$314,051,292",1.00
134,Oasis Network ROSE,$0.061627490289,-0.1%,-1.4%,-6.0%,"$20,087,258","$310,188,256","$616,755,272",0.50
135,SXP SXP,$0.548382,-0.3%,-2.0%,-11.7%,"$17,550,662","$308,760,333","$308,759,222",1.00
136,Theta Fuel TFUEL,$0.050140110072,-0.7%,-0.4%,-4.4%,"$10,091,261","$307,129,824",-,-
137,Qtum QTUM,$2.88,-0.1%,0.2%,-3.2%,"$14,045,317","$301,163,354",-,-
138,Aleph Zero AZERO,$1.33,-0.1%,-0.7%,-0.6%,"$1,931,770","$299,960,723",-,-
139,Chia XCH,$41.50,-0.0%,-0.1%,-1.8%,"$1,486,063","$298,625,310",-,-
140,Celo CELO,$0.600320,0.0%,-1.5%,-3.1%,"$5,771,241","$297,162,464","$600,357,217",0.49
141,GALA GALA,$0.038749364917,0.1%,-0.7%,-5.8%,"$75,374,128","$292,457,448","$1,938,731,061",0.15
142,Olympus OHM,$10.45,-0.0%,0.1%,0.1%,"$847,897","$290,271,994","$284,953,491",1.02
143,Compound COMP,$41.98,0.2%,0.4%,4.6%,"$12,561,097","$288,082,317","$420,184,821",0.69
144,Astar ASTR,$0.064027485395,-0.3%,-1.2%,4.2%,"$4,750,766","$287,862,481","$505,823,373",0.57
145,Beldex BDX,$0.053483075754,-0.2%,-0.9%,-3.6%,"$1,493,555","$284,894,861","$530,370,001",0.54
146,Ravencoin RVN,$0.023859086491,-0.2%,-1.5%,-0.5%,"$5,117,609","$284,143,327",-,-
147,Gnosis GNO,$108.88,-0.3%,-0.0%,0.3%,"$1,517,350","$282,881,608","$327,714,098",0.86
148,Kusama KSM,$31.24,-0.0%,0.2%,1.6%,"$9,453,911","$280,924,415","$312,830,008",0.90
149,SafeMoon [OLD] SAFEMOON,$0.000000006674,-,-,-,-,"$277,800,683",-,-
150,Decred DCR,$18.54,-0.0%,-1.4%,-6.0%,"$1,110,393","$276,914,256",-,-
151,Liquity USD LUSD,$1.01,-0.4%,-0.4%,-1.0%,"$2,255,100","$276,768,693",-,-
152,ICON ICX,$0.288958,-0.6%,-3.7%,-7.2%,"$12,047,617","$276,401,056",-,-
153,yearn.finance YFI,"$8,232.66",-0.3%,-0.6%,-0.8%,"$14,239,805","$271,944,795","$302,454,186",0.90
154,LINK LN,$39.91,0.6%,1.8%,3.7%,"$370,292","$269,336,157",-,-
155,Illuvium ILV,$52.49,-0.2%,-1.3%,-2.6%,"$3,885,670","$263,652,634",-,-
156,Huobi BTC HBTC,"$29,121.61",-0.7%,-1.1%,5.2%,"$12,769.37","$261,313,275","$261,313,275",1.00
157,Helium HNT,$1.80,-0.3%,-1.1%,-4.9%,"$820,297","$259,628,601","$402,245,806",0.65
158,DAO Maker DAO,$1.56,0.5%,-4.7%,7.8%,"$2,759,945","$259,155,760","$433,850,155",0.60
159,Bitcoin Gold BTG,$14.61,0.1%,-0.8%,-6.4%,"$1,067,455","$255,592,389",-,-
160,Ankr Network ANKR,$0.031133131076,-0.4%,-1.4%,-5.0%,"$13,125,610","$254,457,680","$311,724,631",0.82
161,Pepe PEPE,$0.000000609997,-0.6%,84.2%,108.9%,"$107,463,204","$253,628,470","$253,628,470",1.00
162,Balancer BAL,$6.06,-0.4%,-0.9%,-2.0%,"$4,087,295","$247,307,062","$582,895,617",0.42
163,STEPN GMT,$0.332138,-0.4%,-3.1%,-1.3%,"$31,646,818","$246,334,966","$1,996,691,938",0.12
164,Harmony ONE,$0.019825946929,-0.1%,-1.7%,-4.2%,"$14,756,619","$243,900,750","$260,760,511",0.94
165,Magic MAGIC,$1.14,-0.2%,-1.9%,-4.1%,"$13,351,199","$243,199,332","$395,729,508",0.61
166,Convex CRV CVXCRV,$0.828707,0.1%,-1.6%,-1.8%,"$51,670.22","$241,740,957",-,-
167,MX MX,$2.40,-0.1%,0.0%,4.0%,"$150,250","$240,110,430",-,-
168,IoTeX IOTX,$0.024970830665,-0.3%,-0.7%,4.0%,"$4,273,591","$235,930,199","$237,137,226",0.99
169,Golem GLM,$0.233718,-0.3%,-2.4%,-4.2%,"$2,141,648","$234,200,770",-,-
170,Bone ShibaSwap BONE,$0.997848,-0.3%,-3.2%,4.3%,"$5,060,898","$229,465,511","$249,502,079",0.92
171,JUST JST,$0.025775073470,-0.1%,-1.1%,-2.4%,"$16,603,070","$229,450,143","$255,171,423",0.90
172,Escoin ELG,$2.83,-0.1%,0.1%,-1.7%,"$7,695.66","$228,752,259",-,-
173,Euro Tether EURT,$1.10,-0.0%,-0.1%,0.4%,"$1,293,198","$227,194,321","$441,156,583",0.51
174,Ronin RON,$1.05,-0.3%,0.4%,-4.6%,"$652,855","$223,354,909","$1,048,330,869",0.21
175,Moonbeam GLMR,$0.353509,0.2%,-0.2%,-4.2%,"$5,082,285","$221,946,562","$376,782,603",0.59
176,0x Protocol ZRX,$0.258199,-0.4%,-1.7%,-3.1%,"$12,783,732","$219,001,107","$258,409,588",0.85
177,LUKSO LYXE,$13.97,3.4%,-2.6%,2.0%,"$1,868,392","$217,903,309","$1,398,975,910",0.16
178,Band Protocol BAND,$1.70,-0.3%,-3.0%,-1.2%,"$10,641,887","$213,173,890","$228,164,708",0.93
179,Gains Farm GFARM2,"$5,938.86",-0.2%,0.3%,-8.5%,"$6,209.69","$212,807,171","$212,807,171",1.00
180,Astrafer ASTRAFER,$1.36,0.2%,-0.1%,-2.6%,"$3,325.76","$212,728,586","$1,206,737,612",0.18
181,Ontology ONT,$0.238942,-0.1%,-1.2%,-5.6%,"$8,311,298","$211,383,935",-,-
182,Kadena KDA,$0.913718,0.1%,-0.4%,-4.1%,"$3,129,357","$208,621,812","$913,541,877",0.23
183,Siacoin SC,$0.004050269741,-0.2%,-2.3%,1.0%,"$12,048,672","$208,314,559",-,-
184,Krypton DAO KRD,$2.02,-0.3%,-1.7%,39.7%,"$12,527.47","$207,212,041","$20,224,268,521",0.01
185,TerraClassicUSD USTC,$0.020617557047,-0.4%,-3.8%,2.4%,"$6,925,884","$201,978,333",-,-
186,Sushi SUSHI,$1.04,0.2%,-0.8%,-1.2%,"$18,336,000","$200,663,030","$260,210,338",0.77
187,Amp AMP,$0.003540132897,0.4%,1.0%,-2.5%,"$3,959,877","$198,605,517","$351,884,169",0.56
188,IOST IOST,$0.010574170824,-0.1%,-0.8%,-0.2%,"$9,061,742","$198,065,602","$952,803,730",0.21
189,Biconomy BICO,$0.371877,-0.1%,2.9%,-1.8%,"$4,542,499","$195,283,448","$371,830,775",0.53
190,FUBT Token FUC,$2.20,,-0.2%,0.7%,"$5,106.81","$193,833,906","$219,571,346",0.88
191,Waves WAVES,$1.93,-0.0%,-0.7%,-1.2%,"$13,466,365","$193,156,904","$193,156,904",1.00
192,Reserve Rights RSR,$0.003770130512,0.0%,-2.3%,-3.8%,"$4,333,226","$191,040,895","$377,551,175",0.51
193,SPACE ID ID,$0.658489,-0.1%,-2.1%,-13.3%,"$62,811,958","$188,893,826","$1,320,935,847",0.14
194,tomiNet TOMI,$3.20,4.3%,4.2%,22.5%,"$3,965,574","$188,773,237",-,-
195,SSV Network SSV,$26.42,-0.8%,-0.2%,-1.3%,"$4,658,478","$187,548,872","$293,190,890",0.64
196,Gains Network GNS,$6.03,0.2%,-0.7%,-7.0%,"$5,849,744","$183,783,515","$183,783,515",1.00
197,Polymath POLY,$0.204938,-0.9%,-0.7%,-3.5%,"$555,392","$183,590,544",-,-
198,WAX WAXP,$0.067857314234,-0.1%,-1.4%,-2.4%,"$2,901,028","$183,068,726","$255,941,315",0.72
199,ECOMI OMI,$0.000665614860,-0.6%,-0.2%,8.7%,"$743,706","$181,398,937","$499,768,315",0.36
200,Multichain MULTI,$9.35,0.2%,-1.3%,-8.3%,"$1,465,484","$181,044,686",-,-
201,Staked Frax Ether SFRXETH,"$1,902.59",-,-,-,-,"$179,611,820","$186,595,066",-
202,Flux FLUX,$0.606098,-0.1%,0.8%,-3.8%,"$3,946,486","$179,118,593",-,-
203,BORA BORA,$0.175449,-0.0%,-0.7%,-3.5%,"$1,284,946","$173,816,202","$210,896,992",0.82
204,SKALE SKL,$0.038356880707,0.1%,-1.8%,-3.0%,"$10,997,126","$171,680,676","$268,030,529",0.64
205,Alchemix USD ALUSD,$0.997803,-0.0%,0.2%,-0.2%,"$41,871.36","$171,541,408",-,-
206,AVINOC AVINOC,$1.02,-0.4%,3.6%,226.0%,"$130,012","$170,097,850",-,-
207,JOE JOE,$0.488758,-0.3%,-2.6%,-9.2%,"$7,617,804","$169,690,383","$244,554,845",0.69
208,SwissBorg CHSB,$0.176765,0.2%,0.3%,1.5%,"$161,903","$168,188,688",-,-
209,Bitcoin Avalanche Bridged (BTC.b) BTC.B,"$29,212.94",-0.1%,-0.5%,4.9%,"$4,279,326","$167,202,345",-,-
210,Liquity LQTY,$1.80,-0.0%,-2.2%,-5.7%,"$11,960,944","$165,596,908","$180,322,043",0.92
211,e-Radix EXRD,$0.106779,-0.7%,2.9%,7.1%,"$357,516","$162,292,500","$2,564,636,435",0.06
212,SafePal SFP,$0.437276,-0.1%,-0.9%,-1.8%,"$1,722,658","$161,656,474","$218,577,767",0.74
213,inSure DeFi SURE,$0.006078358721,-0.2%,0.7%,1.7%,"$2,297,238","$160,974,954","$535,279,746",0.30
214,Ocean Protocol OCEAN,$0.369331,-0.3%,-2.5%,-0.5%,"$16,390,216","$160,545,960","$521,557,158",0.31
215,Evmos EVMOS,$0.328326,-0.1%,0.8%,-1.8%,"$964,959","$160,162,791","$327,927,428",0.49
216,Cartesi CTSI,$0.216642,0.1%,-2.0%,-19.6%,"$25,055,099","$158,725,665","$217,014,481",0.73
217,Synapse SYN,$0.823146,-0.3%,-1.9%,-0.9%,"$6,998,985","$156,581,190","$205,900,452",0.76
218,Alchemy Pay ACH,$0.031635264836,-0.7%,-3.4%,-10.2%,"$17,060,519","$156,503,999","$316,573,178",0.49
219,Core CORE,$1.52,-0.5%,0.2%,0.4%,"$9,719,577","$156,409,837","$3,206,880,145",0.05
220,Blox CDT,$0.230662,-7.9%,-22.1%,-29.7%,"$111,503","$155,635,746",-,-
221,Bitgert BRISE,$0.000000392450,-0.8%,-2.4%,-2.7%,"$2,616,914","$155,305,606","$392,494,899",0.40
222,Livepeer LPT,$5.57,-0.5%,-2.0%,-2.7%,"$6,878,494","$155,053,062","$155,053,062",1.00
223,Bitkub Coin KUB,$1.73,0.0%,-0.0%,1.0%,"$178,275","$153,891,303","$190,523,842",0.81
224,DigiByte DGB,$0.009403520801,-0.2%,-0.8%,-0.7%,"$1,559,724","$152,586,834",-,-
225,Hive HIVE,$0.409039,-0.1%,-0.1%,-3.6%,"$4,340,151","$152,130,568",-,-
226,Decentralized Social DESO,$14.35,-0.7%,3.8%,1.0%,"$278,412","$151,147,710","$155,111,995",0.97
227,OMG Network OMG,$1.07,-0.3%,0.4%,-12.4%,"$26,694,103","$150,106,249","$150,106,249",1.00
228,Telcoin TEL,$0.002161996927,-0.4%,0.4%,-4.8%,"$658,891","$149,915,257",-,-
229,Access Protocol ACS,$0.005003145342,-1.7%,-7.1%,-6.6%,"$2,898,032","$149,552,736","$503,156,256",0.30
230,sETH2 SETH2,"$1,899.90",0.3%,0.8%,1.9%,"$56,226.20","$144,642,680",-,-
231,Ecoin ECOIN,$0.000310373791,,0.1%,-29.6%,$0.310374,"$143,120,101",-,-
232,Dogelon Mars ELON,$0.000000260025,0.3%,-5.3%,-10.8%,"$3,133,017","$143,017,331","$260,197,105",0.55
233,OriginTrail TRAC,$0.370994,0.2%,-2.0%,-1.5%,"$1,688,238","$141,501,191","$184,824,641",0.77
