#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
95,WOO Network WOO,$0.310512,1.2%,7.4%,6.5%,"$59,700,818","$520,768,897","$697,994,848",0.75
96,XDC Network XDC,$0.037235099373,0.4%,-0.4%,-7.2%,"$4,427,898","$515,531,548",-,-
97,Tether Gold XAUT,"$2,015.21",-0.1%,-1.5%,1.2%,"$7,153,945","$496,774,422","$496,774,422",1.00
98,Trust Wallet TWT,$1.17,0.0%,0.4%,0.6%,"$9,888,427","$490,014,979",-,-
99,PancakeSwap CAKE,$2.44,0.2%,-3.0%,-11.4%,"$74,164,671","$489,318,106","$1,828,742,521",0.27
100,Kaspa KAS,$0.027528232196,2.0%,0.7%,-12.7%,"$9,493,636","$483,691,462",-,-
101,FLOKI FLOKI,$0.000047051710,-1.8%,45.5%,30.7%,"$372,618,854","$468,009,059",-,-
102,Zilliqa ZIL,$0.027374603978,0.1%,0.9%,-5.4%,"$30,704,922","$450,446,933","$575,502,424",0.78
103,Osmosis OSMO,$0.737935,0.2%,1.4%,-6.9%,"$9,866,880","$425,018,209","$738,745,930",0.58
104,Flare FLR,$0.028798108993,-0.1%,-0.8%,-8.0%,"$5,773,485","$423,036,476","$2,907,240,989",0.15
105,Loopring LRC,$0.337334,0.5%,2.4%,-3.1%,"$30,313,595","$421,550,184","$465,032,546",0.91
106,Convex Finance CVX,$5.45,0.1%,5.2%,3.3%,"$3,176,930","$420,202,315","$545,861,719",0.77
107,dYdX DYDX,$2.56,0.1%,2.7%,-5.6%,"$76,274,164","$408,122,226","$2,575,639,862",0.16
108,THORChain RUNE,$1.35,0.6%,2.4%,-0.1%,"$50,036,743","$406,640,948","$676,155,951",0.60
109,Kava KAVA,$0.796694,0.3%,1.4%,1.3%,"$21,722,144","$404,567,081",-,-
110,NEXO NEXO,$0.714058,0.7%,2.1%,1.0%,"$3,437,338","$399,412,974","$713,237,440",0.56
111,Arweave AR,$7.95,-0.1%,1.9%,2.1%,"$10,002,684","$399,336,600","$525,982,908",0.76
112,Enjin Coin ENJ,$0.387923,0.5%,1.5%,-1.9%,"$19,045,313","$386,047,395","$386,047,395",1.00
113,Baby Doge Coin BABYDOGE,$0.000000002437,1.1%,2.5%,-13.2%,"$16,248,227","$380,424,606","$1,023,401,005",0.37
114,1inch 1INCH,$0.465057,0.0%,2.4%,-3.7%,"$14,513,159","$379,887,139","$697,583,729",0.54
115,Nexus Mutual NXM,$55.43,,6.4%,5.4%,"$13,520.53","$373,068,510","$373,068,510",1.00
116,cUSDC CUSDC,$0.022875371675,,0.2%,0.2%,$3.16,"$372,530,415",-,-
117,SingularityNET AGIX,$0.306084,0.2%,-1.3%,-10.5%,"$38,641,038","$371,940,153","$612,513,668",0.61
118,JasmyCoin JASMY,$0.007738369401,0.5%,8.1%,15.0%,"$162,268,124","$368,821,202","$387,661,554",0.95
119,Mask Network MASK,$4.55,0.3%,1.8%,-2.9%,"$34,048,774","$364,975,842","$455,508,071",0.80
120,Basic Attention BAT,$0.243905,-0.1%,1.7%,-3.8%,"$20,288,780","$364,474,099","$367,255,686",0.99
121,Frax Ether FRXETH,"$2,007.42",0.6%,6.8%,6.1%,"$457,024","$361,152,747","$361,152,747",1.00
122,BTSE Token BTSE,$2.11,-0.3%,-0.3%,-0.8%,"$1,071,445","$341,139,939","$421,000,592",0.81
123,Zcash ZEC,$37.25,0.3%,2.0%,-1.4%,"$27,170,581","$337,709,012","$784,063,594",0.43
124,Holo HOT,$0.001855704032,0.3%,1.8%,-3.1%,"$12,242,783","$330,414,923",-,-
125,OKT Chain OKT,$18.43,0.4%,-0.1%,-3.6%,"$1,146,643","$329,054,593","$387,177,711",0.85
126,cDAI CDAI,$0.022222888999,-0.0%,-0.1%,-0.1%,"$10,138.88","$327,647,522","$327,647,522",1.00
127,Fetch.ai FET,$0.314837,0.5%,1.2%,-6.4%,"$42,803,871","$326,215,057","$360,458,627",0.90
128,DeFiChain DFI,$0.467735,0.3%,2.5%,-1.5%,"$4,310,072","$326,037,474",-,-
129,NEM XEM,$0.036210336222,-0.1%,0.6%,-1.6%,"$7,946,967","$325,484,852",-,-
130,Terra LUNA,$1.20,0.3%,-1.8%,-7.5%,"$31,307,659","$320,756,631","$1,301,020,611",0.25
131,Ethereum Name Service ENS,$12.04,0.2%,0.8%,-1.8%,"$21,197,742","$311,590,540","$1,208,500,640",0.26
132,Gnosis GNO,$119.74,0.2%,6.9%,10.3%,"$3,171,201","$310,209,563","$359,373,124",0.86
133,SXP SXP,$0.540320,0.4%,1.9%,-3.4%,"$37,653,501","$305,188,034","$305,188,276",1.00
134,Oasis Network ROSE,$0.060347952461,0.4%,1.3%,-2.7%,"$25,746,263","$304,130,203","$604,709,891",0.50
135,Theta Fuel TFUEL,$0.049356995383,-0.2%,0.1%,-1.5%,"$5,110,361","$302,904,983",-,-
136,Audius AUDIO,$0.288827,0.2%,2.4%,-5.4%,"$8,341,996","$302,592,998","$336,103,698",0.90
137,Qtum QTUM,$2.87,0.3%,2.0%,0.1%,"$15,901,086","$301,558,572",-,-
138,EthereumPoW ETHW,$2.75,0.2%,-2.4%,-6.8%,"$14,356,824","$297,251,196","$297,250,573",1.00
139,Celo CELO,$0.587779,0.2%,0.9%,-3.5%,"$7,846,947","$293,603,236","$589,127,324",0.50
140,Olympus OHM,$10.54,-0.2%,0.6%,1.2%,"$615,462","$292,757,928","$284,015,333",1.03
141,Astar ASTR,$0.062651706140,0.1%,1.6%,-2.2%,"$5,792,947","$283,276,648","$497,991,132",0.57
142,Aleph Zero  AZERO,$1.24,0.5%,3.2%,-6.6%,"$2,544,145","$282,848,000",-,-
143,Liquity USD LUSD,$1.01,-0.0%,0.1%,0.4%,"$2,729,511","$280,755,387",-,-
144,LINK LN,$41.70,0.5%,0.1%,6.0%,"$559,115","$280,474,925",-,-
145,Compound COMP,$40.82,0.3%,2.2%,0.2%,"$15,773,623","$280,100,693","$408,543,158",0.69
146,Chia XCH,$38.61,0.7%,1.4%,-6.7%,"$3,220,169","$278,627,405",-,-
147,Ravencoin RVN,$0.023345572307,0.3%,1.3%,-3.0%,"$6,968,677","$278,287,553",-,-
148,MX MX,$2.78,0.1%,9.3%,19.1%,"$756,404","$278,148,181",-,-
149,SafeMoon [OLD] SAFEMOON,$0.000000006778,0.4%,1.0%,1.1%,$0.060141106845,"$277,800,683",-,-
150,Blur BLUR,$0.599659,0.9%,3.6%,-12.8%,"$71,540,515","$275,427,193","$1,802,196,792",0.15
151,Decred DCR,$18.31,0.1%,-7.0%,-2.4%,"$5,207,332","$275,290,890",-,-
152,ICON ICX,$0.286433,-0.6%,0.6%,-5.1%,"$20,673,874","$274,446,338",-,-
153,yearn.finance YFI,"$8,200.51",0.7%,1.9%,-0.3%,"$23,235,747","$270,554,261","$300,925,970",0.90
154,Huobi BTC HBTC,"$29,823.51",0.9%,3.9%,2.0%,"$58,446.89","$266,896,719","$266,896,719",1.00
155,WEMIX WEMIX,$1.06,1.2%,0.1%,-17.5%,"$4,513,434","$265,365,667","$1,023,043,652",0.26
156,Illuvium ILV,$51.54,0.4%,2.3%,-2.5%,"$9,783,210","$261,620,849",-,-
157,GALA GALA,$0.034584838797,-0.0%,-1.1%,-11.4%,"$142,799,772","$261,561,283","$1,733,917,149",0.15
158,Kusama KSM,$29.01,-0.6%,0.2%,-6.0%,"$22,597,591","$260,807,418","$290,428,251",0.90
159,Beldex BDX,$0.048513265399,-0.1%,-1.0%,-10.7%,"$2,049,335","$258,539,210","$481,293,238",0.54
160,Balancer BAL,$6.29,0.6%,3.7%,3.6%,"$9,481,121","$257,493,395","$605,906,185",0.42
161,DAO Maker DAO,$1.54,-0.6%,-1.4%,-5.0%,"$2,554,354","$256,309,120","$429,084,622",0.60
162,Bitcoin Gold BTG,$14.42,0.7%,0.9%,-2.3%,"$1,712,772","$253,524,737",-,-
163,Convex CRV CVXCRV,$0.860570,-0.2%,2.7%,2.9%,"$38,881.79","$249,778,968",-,-
164,Ankr Network ANKR,$0.030293283484,0.3%,2.6%,-3.6%,"$26,078,235","$247,170,030","$302,796,860",0.82
165,Magic MAGIC,$1.15,1.6%,4.7%,-0.6%,"$39,952,953","$247,052,316","$400,522,800",0.62
166,Golem GLM,$0.240461,0.1%,1.6%,0.9%,"$6,036,981","$240,794,875",-,-
167,Harmony ONE,$0.019429690337,0.4%,1.5%,-4.0%,"$18,319,772","$239,788,045","$256,363,513",0.94
168,STEPN GMT,$0.314710,-0.1%,-1.0%,-6.6%,"$27,374,672","$235,981,186","$1,894,342,635",0.12
169,IoTeX IOTX,$0.024670439605,0.9%,-4.1%,-0.6%,"$21,047,468","$233,876,851","$235,077,339",0.99
170,Ronin RON,$1.07,0.5%,4.4%,1.9%,"$1,565,892","$228,763,658","$1,068,435,513",0.21
171,Escoin ELG,$2.85,0.1%,1.2%,0.7%,"$331,876","$228,752,259",-,-
172,LUKSO LYXE,$14.57,0.2%,-1.2%,1.2%,"$1,639,121","$227,002,468","$1,457,394,043",0.16
173,Euro Tether EURT,$1.10,-0.1%,-0.1%,0.1%,"$1,807,023","$226,699,999","$440,196,727",0.51
174,Helium HNT,$1.57,0.2%,2.2%,-13.9%,"$50,952,195","$225,886,460","$349,968,689",0.65
175,JUST JST,$0.024890918670,-0.2%,0.8%,-4.4%,"$9,939,671","$221,966,952","$246,849,368",0.90
176,0x Protocol ZRX,$0.254041,0.4%,2.9%,-3.5%,"$23,153,420","$215,215,428","$253,942,690",0.85
177,Band Protocol BAND,$1.71,-0.2%,1.9%,-0.2%,"$12,731,959","$214,957,727","$230,052,976",0.93
178,Gains Farm GFARM2,"$5,938.86",-,-,-,-,"$212,807,171","$212,807,171",-
179,Moonbeam GLMR,$0.335938,0.6%,2.0%,-4.6%,"$7,019,936","$210,589,491","$357,263,832",0.59
180,Kadena KDA,$0.902366,0.3%,0.2%,-1.8%,"$5,487,425","$208,552,556","$904,147,928",0.23
181,Ontology ONT,$0.234194,-0.1%,1.5%,-2.8%,"$11,434,723","$207,386,110",-,-
182,Bone ShibaSwap BONE,$0.882235,-0.8%,-2.9%,-14.8%,"$12,617,853","$204,098,907","$221,920,503",0.92
183,Sushi SUSHI,$1.05,-0.0%,1.9%,-0.1%,"$27,298,809","$202,076,329","$262,043,037",0.77
184,Siacoin SC,$0.003891150203,0.5%,1.4%,-2.3%,"$3,370,480","$200,519,833",-,-
185,Astrafer ASTRAFER,$1.27,0.0%,-2.3%,-6.2%,"$52,356.86","$200,294,222","$1,136,201,655",0.18
186,UMA UMA,$2.80,-6.1%,34.5%,47.2%,"$257,312,502","$199,922,877","$318,808,157",0.63
187,IOST IOST,$0.010602367050,0.2%,2.1%,1.2%,"$10,143,252","$198,706,901","$955,888,730",0.21
188,SSV Network SSV,$27.53,3.1%,18.6%,5.1%,"$32,698,887","$194,645,638","$304,285,101",0.64
189,WAX WAXP,$0.065770755658,-0.2%,1.5%,-4.4%,"$2,698,773","$192,630,521","$248,145,427",0.78
190,Polymath POLY,$0.212126,6.6%,2.3%,2.0%,"$4,066,594","$190,669,048",-,-
191,Reserve Rights RSR,$0.003748979577,0.1%,4.3%,-2.8%,"$8,933,953","$190,509,597","$376,501,180",0.51
192,Waves WAVES,$1.90,0.0%,-0.3%,-1.2%,"$17,987,549","$190,419,338","$190,419,338",1.00
193,FUBT Token FUC,$2.15,-,-,-,-,"$189,799,373","$215,001,104",-
194,Amp AMP,$0.003367850637,0.0%,0.1%,-4.6%,"$3,017,381","$189,128,087","$335,092,300",0.56
195,TerraClassicUSD USTC,$0.019056984133,-0.2%,-2.0%,-9.5%,"$6,171,883","$187,628,235",-,-
196,Biconomy BICO,$0.346952,0.3%,0.5%,-2.2%,"$2,268,283","$185,605,137","$347,201,921",0.53
197,Blox CDT,$0.272725,-3.0%,14.1%,-18.6%,"$129,810","$184,660,047",-,-
198,tomiNet TOMI,$3.12,0.1%,4.4%,4.5%,"$11,071,572","$184,050,907",-,-
199,Staked Frax Ether SFRXETH,"$1,902.59",-,-,-,-,"$179,611,820","$201,714,384",-
200,Gains Network GNS,$5.84,0.4%,2.6%,-4.1%,"$18,454,636","$178,234,628","$178,234,628",1.00
201,Radicle RAD,$3.56,-1.4%,-22.6%,73.0%,"$402,219,068","$177,724,257","$356,667,528",0.50
202,Multichain MULTI,$9.16,0.4%,0.4%,-3.5%,"$2,081,476","$177,545,267",-,-
203,BORA BORA,$0.175087,0.1%,0.3%,-0.4%,"$1,665,048","$173,907,740","$211,008,058",0.82
204,Open Campus EDU,$1.19,-0.2%,-3.7%,-15.2%,"$8,712,130","$172,772,658","$1,190,571,046",0.15
205,SKALE SKL,$0.038311768455,0.3%,2.1%,-1.9%,"$20,343,376","$172,564,049","$267,876,219",0.64
207,Alchemix USD ALUSD,$0.997183,-0.0%,-0.2%,0.1%,"$141,659","$171,372,479",-,-
206,Flux FLUX,$0.574714,0.2%,0.2%,-4.0%,"$5,104,001","$170,847,336",-,-
208,ECOMI OMI,$0.000598391354,-1.4%,-1.0%,-12.6%,"$851,933","$164,641,625","$450,367,092",0.37
209,SafePal SFP,$0.443671,0.7%,3.0%,1.0%,"$3,123,579","$164,329,578","$222,192,105",0.74
210,Bitcoin Avalanche Bridged (BTC.b) BTC.B,"$29,657.46",0.3%,2.4%,0.9%,"$6,557,361","$164,282,437",-,-
211,SwissBorg CHSB,$0.171307,0.3%,-2.6%,-3.6%,"$842,629","$163,267,126",-,-
212,SPACE ID ID,$0.568859,1.4%,-2.6%,-17.3%,"$98,197,459","$162,961,139","$1,139,588,388",0.14
213,Cartesi CTSI,$0.215503,-0.7%,0.1%,-4.3%,"$38,847,335","$158,263,709","$216,231,987",0.73
214,inSure DeFi SURE,$0.005946204929,0.3%,3.2%,-3.5%,"$3,806,755","$157,706,234","$524,410,477",0.30
215,Ocean Protocol OCEAN,$0.358685,0.2%,1.9%,-3.4%,"$21,127,819","$155,879,184","$506,396,452",0.31
216,Liquity LQTY,$1.69,0.0%,0.9%,-9.7%,"$9,521,916","$155,855,569","$169,608,506",0.92
217,Livepeer LPT,$5.57,0.2%,1.5%,-0.4%,"$16,005,014","$154,969,120","$154,969,120",1.00
218,Hive HIVE,$0.409174,-0.8%,0.3%,0.1%,"$2,434,373","$152,489,153",-,-
219,Bitkub Coin KUB,$1.71,-0.4%,1.0%,-3.3%,"$270,498","$152,273,389","$188,520,797",0.81
220,sETH2 SETH2,"$1,986.59",0.4%,6.5%,5.7%,"$35,538.91","$151,468,578",-,-
221,Synapse SYN,$0.786530,0.9%,4.8%,-4.5%,"$12,397,199","$149,516,065","$196,609,985",0.76
222,OMG Network OMG,$1.06,-0.4%,0.5%,1.6%,"$24,854,628","$149,070,554","$149,070,554",1.00
223,Alchemy Pay ACH,$0.030086949171,0.8%,3.7%,-8.3%,"$21,699,627","$148,740,582","$300,869,492",0.49
224,DigiByte DGB,$0.009128361414,0.5%,1.5%,-2.4%,"$1,795,313","$148,285,820",-,-
225,AVINOC AVINOC,$0.878393,5.2%,4.7%,-7.1%,"$113,310","$146,932,852",-,-
226,Axelar AXL,$0.586163,-0.0%,0.6%,14.6%,"$3,046,453","$146,008,004","$620,469,723",0.24
227,Access Protocol ACS,$0.004869722523,1.3%,-4.0%,-9.0%,"$2,212,715","$145,061,882","$487,848,446",0.30
228,Dogelon Mars ELON,$0.000000263101,-0.1%,1.7%,-1.3%,"$4,021,319","$144,366,814","$262,652,272",0.55
229,Evmos EVMOS,$0.289956,0.0%,3.6%,-11.7%,"$1,190,808","$142,633,448","$289,027,213",0.49
230,Stargate Finance STG,$0.785747,0.3%,4.4%,-1.3%,"$20,739,818","$142,406,306","$787,552,997",0.18
231,NuCypher NU,$0.109960,-0.0%,9.3%,8.2%,$53.18,"$142,215,916","$425,002,823",0.33
233,JOE JOE,$0.403872,-0.2%,2.7%,-19.9%,"$19,675,411","$141,212,423","$202,698,013",0.70
232,aelf ELF,$0.305845,0.2%,2.0%,2.9%,"$3,733,430","$141,095,296",-,-
234,Lisk LSK,$0.970449,-0.6%,1.5%,-0.6%,"$2,636,878","$140,748,442",-,-
235,Krypton DAO KRD,$1.34,-2.4%,5.1%,-35.7%,"$12,379.73","$139,481,554","$13,613,650,987",0.01
236,ArbDoge AI AIDOGE,$0.000000000690,-4.9%,-6.8%,135.2%,"$245,874,423","$138,191,523","$148,600,252",0.93
